name,year,attendee_count
PortAventura Park,2006,3500000
Seaworld San Diego,2023,3990000
Seaworld San Diego,2022,3507000
Seaworld San Diego,2021,2800000
Seaworld San Diego,2020,1139000
Seaworld San Diego,2019,3742000
Seaworld San Diego,2018,3723000
Seaworld San Diego,2017,3100000
Seaworld San Diego,2016,3600000
Seaworld San Diego,2015,3528000
Seaworld San Diego,2014,3794000
Seaworld San Diego,2013,4311000
Seaworld San Diego,2012,4444000
Seaworld San Diego,2011,4294000
Seaworld San Diego,2010,3800000
Seaworld San Diego,2009,4200000
Seaworld San Diego,2008,4147000
Seaworld San Diego,2007,4260000
Seaworld San Diego,2006,4260000
Seaworld Orlando,2023,4342000
Seaworld Orlando,2022,4454000
Seaworld Orlando,2021,3051000
Seaworld Orlando,2020,1598000
Seaworld Orlando,2019,4640000
Seaworld Orlando,2018,4594000
Seaworld Orlando,2017,3962000
Seaworld Orlando,2016,4402000
Seaworld Orlando,2015,4777000
Seaworld Orlando,2014,4683000
Seaworld Orlando,2013,5090000
Seaworld Orlando,2012,5358000
Seaworld Orlando,2011,5202000
Seaworld Orlando,2010,5100000
Seaworld Orlando,2009,5800000
Seaworld Orlando,2008,5926000
Seaworld Orlando,2007,5800000
Seaworld Orlando,2006,5740000
Seaworld San Antonio,2011,2600000
Seaworld San Antonio,2010,2600000
Busch Gardens Williamsburg,2014,2699000
Busch Gardens Williamsburg,2013,2726000
Busch Gardens Williamsburg,2012,2854000
Busch Gardens Williamsburg,2011,2744000
Busch Gardens Williamsburg,2010,2800000
Busch Gardens Williamsburg,2009,2900000
Busch Gardens Williamsburg,2008,3094000
Busch Gardens Williamsburg,2007,3157000
Busch Gardens Tampa,2023,4000000
Busch Gardens Tampa,2022,4051000
Busch Gardens Tampa,2021,3210000
Busch Gardens Tampa,2020,1288000
Busch Gardens Tampa,2019,4180000
Busch Gardens Tampa,2018,4139000
Busch Gardens Tampa,2017,3961000
Busch Gardens Tampa,2016,4169000
Busch Gardens Tampa,2015,4252000
Busch Gardens Tampa,2014,4128000
Busch Gardens Tampa,2013,4087000
Busch Gardens Tampa,2012,4348000
Busch Gardens Tampa,2011,4284000
Busch Gardens Tampa,2010,4200000
Busch Gardens Tampa,2009,4100000
Busch Gardens Tampa,2008,4410000
Busch Gardens Tampa,2007,4400000
Busch Gardens Tampa,2006,4360000
Heide Park,2023,1680000
Heide Park,2022,1600000
Heide Park,2021,1300000
Heide Park,2020,950000
Heide Park,2019,1700000
Heide Park,2018,1660000
Heide Park,2017,1480000
Heide Park,2016,1540000
Heide Park,2015,1525000
Heide Park,2014,1475000
Heide Park,2013,1400000
Heide Park,2012,1300000
Heide Park,2011,1400000
Heide Park,2010,1350000
Heide Park,2009,1400000
Heide Park,2008,1330000
Heide Park,2007,1400000
Legoland Windsor,2023,2420000
Legoland Windsor,2022,2400000
Legoland Windsor,2021,1500000
Legoland Windsor,2020,450000
Legoland Windsor,2019,2070000
Legoland Windsor,2018,2140000
Legoland Windsor,2017,2310000
Legoland Windsor,2016,2190000
Legoland Windsor,2015,2360000
Legoland Windsor,2014,2310000
Legoland Windsor,2013,2310000
Legoland Windsor,2012,2040000
Legoland Windsor,2011,1910000
Legoland Windsor,2010,1910000
Legoland Windsor,2009,1910000
Legoland Windsor,2008,1870000
Legoland Windsor,2007,1490000
Legoland Windsor,2006,1620000
Legoland Windsor,2005,1500000
Legoland Windsor,2004,1440000
Legoland Windsor,2003,1440000
Legoland Windsor,2002,1580000
Legoland Windsor,2001,1520000
Legoland Windsor,2000,1670000
Legoland Windsor,1999,1510000
Legoland Windsor,1998,1300000
Legoland Windsor,1997,1470000
Walt Disney Studios Paris,2023,5700000
Walt Disney Studios Paris,2022,5340000
Walt Disney Studios Paris,2021,1884000
Walt Disney Studios Paris,2020,1410000
Walt Disney Studios Paris,2019,5245000
Walt Disney Studios Paris,2018,5298000
Walt Disney Studios Paris,2017,5200000
Walt Disney Studios Paris,2016,4970000
Walt Disney Studios Paris,2015,5050000
Walt Disney Studios Paris,2014,4260000
Walt Disney Studios Paris,2013,4470000
Walt Disney Studios Paris,2012,4800000
Walt Disney Studios Paris,2011,4710000
Walt Disney Studios Paris,2010,4500000
Walt Disney Studios Paris,2009,2655000
Walt Disney Studios Paris,2008,2612000
Walt Disney Studios Paris,2007,2500000
