name,year,month,avg_crowd_level
Epcot,2024,Jun,50
Epcot,2024,Jul,27
Epcot,2024,Aug,27
Epcot,2024,Sep,39
Epcot,2024,Oct,36
Epcot,2024,Nov,54
Epcot,2024,Dec,60
Epcot,2023,Jan,51
Epcot,2023,Feb,47
Epcot,2023,Mar,52
Epcot,2023,Apr,48
Epcot,2023,May,25
Epcot,2023,Jun,50
Epcot,2023,Jul,30
Epcot,2023,Aug,33
Epcot,2023,Sep,40
Epcot,2023,Oct,52
Epcot,2023,Nov,51
Epcot,2023,Dec,65
Epcot,2022,Jan,34
Epcot,2022,Feb,56
Epcot,2022,Mar,63
Epcot,2022,Apr,58
Epcot,2022,May,27
Epcot,2022,Jun,69
Epcot,2022,Jul,60
Epcot,2022,Aug,26
Epcot,2022,Sep,17
Epcot,2022,Oct,62
Epcot,2022,Nov,55
Epcot,2022,Dec,65
Epcot,2021,Jan,26
Epcot,2021,Feb,37
Epcot,2021,Mar,60
Epcot,2021,Apr,63
Epcot,2021,May,47
Epcot,2021,Jun,62
Epcot,2021,Jul,58
Epcot,2021,Aug,13
Epcot,2021,Sep,5
Epcot,2021,Oct,14
Epcot,2021,Nov,43
Epcot,2021,Dec,62
Epcot,2020,Jan,62
Epcot,2020,Feb,74
Epcot,2020,Mar,42
Epcot,2020,Apr,NA
Epcot,2020,May,NA
Epcot,2020,Jun,NA
Epcot,2020,Jul,9
Epcot,2020,Aug,10
Epcot,2020,Sep,26
Epcot,2020,Oct,49
Epcot,2020,Nov,47
Epcot,2020,Dec,58
Epcot,2019,Jan,51
Epcot,2019,Feb,58
Epcot,2019,Mar,85
Epcot,2019,Apr,58
Epcot,2019,May,55
Epcot,2019,Jun,48
Epcot,2019,Jul,38
Epcot,2019,Aug,41
Epcot,2019,Sep,26
Epcot,2019,Oct,47
Epcot,2019,Nov,59
Epcot,2019,Dec,62
Epcot,2018,Jan,55
Epcot,2018,Feb,65
Epcot,2018,Mar,78
Epcot,2018,Apr,61
Epcot,2018,May,60
Epcot,2018,Jun,81
Epcot,2018,Jul,48
Epcot,2018,Aug,43
Epcot,2018,Sep,33
Epcot,2018,Oct,57
Epcot,2018,Nov,65
Epcot,2018,Dec,72
Epcot,2017,Jan,44
Epcot,2017,Feb,51
Epcot,2017,Mar,80
Epcot,2017,Apr,75
Epcot,2017,May,66
Epcot,2017,Jun,67
Epcot,2017,Jul,55
Epcot,2017,Aug,66
Epcot,2017,Sep,40
Epcot,2017,Oct,72
Epcot,2017,Nov,70
Epcot,2017,Dec,73
Epcot,2016,Jan,27
Epcot,2016,Feb,43
Epcot,2016,Mar,53
Epcot,2016,Apr,49
Epcot,2016,May,37
Epcot,2016,Jun,53
Epcot,2016,Jul,45
Epcot,2016,Aug,44
Epcot,2016,Sep,35
Epcot,2016,Oct,66
Epcot,2016,Nov,54
Epcot,2016,Dec,65
Epcot,2015,Jan,22
Epcot,2015,Feb,50
Epcot,2015,Mar,70
Epcot,2015,Apr,60
Epcot,2015,May,66
Epcot,2015,Jun,70
Epcot,2015,Jul,65
Epcot,2015,Aug,53
Epcot,2015,Sep,33
Epcot,2015,Oct,55
Epcot,2015,Nov,12
Epcot,2015,Dec,77
Epcot,2014,Jan,NA
Epcot,2014,Feb,NA
Epcot,2014,Mar,NA
Epcot,2014,Apr,NA
Epcot,2014,May,NA
Epcot,2014,Jun,NA
Epcot,2014,Jul,NA
Epcot,2014,Aug,NA
Epcot,2014,Sep,5
Epcot,2014,Oct,16
Epcot,2014,Nov,24
Epcot,2014,Dec,38
Disney Magic Kingdom,2025,Jan,45
Disney Magic Kingdom,2025,Feb,46
Disney Magic Kingdom,2025,Mar,36
Disney Magic Kingdom,2025,Apr,NA
Disney Magic Kingdom,2025,May,NA
Disney Magic Kingdom,2025,Jun,NA
Disney Magic Kingdom,2025,Jul,NA
Disney Magic Kingdom,2025,Aug,NA
Disney Magic Kingdom,2025,Sep,NA
Disney Magic Kingdom,2025,Oct,NA
Disney Magic Kingdom,2025,Nov,NA
Disney Magic Kingdom,2025,Dec,NA
Disney Magic Kingdom,2024,Jan,62
Disney Magic Kingdom,2024,Feb,62
Disney Magic Kingdom,2024,Mar,61
Disney Magic Kingdom,2024,Apr,45
Disney Magic Kingdom,2024,May,40
Disney Magic Kingdom,2024,Jun,42
Disney Magic Kingdom,2024,Jul,35
Disney Magic Kingdom,2024,Aug,33
Disney Magic Kingdom,2024,Sep,26
Disney Magic Kingdom,2024,Oct,28
Disney Magic Kingdom,2024,Nov,33
Disney Magic Kingdom,2024,Dec,43
Disney Magic Kingdom,2023,Jan,59
Disney Magic Kingdom,2023,Feb,61
Disney Magic Kingdom,2023,Mar,66
Disney Magic Kingdom,2023,Apr,65
Disney Magic Kingdom,2023,May,42
Disney Magic Kingdom,2023,Jun,56
Disney Magic Kingdom,2023,Jul,59
Disney Magic Kingdom,2023,Aug,47
Disney Magic Kingdom,2023,Sep,36
Disney Magic Kingdom,2023,Oct,49
Disney Magic Kingdom,2023,Nov,55
Disney Magic Kingdom,2023,Dec,62
Disney Magic Kingdom,2022,Jan,79
Disney Magic Kingdom,2022,Feb,87
Disney Magic Kingdom,2022,Mar,88
Disney Magic Kingdom,2022,Apr,78
Disney Magic Kingdom,2022,May,56
Disney Magic Kingdom,2022,Jun,73
Disney Magic Kingdom,2022,Jul,69
Disney Magic Kingdom,2022,Aug,51
Disney Magic Kingdom,2022,Sep,38
Disney Magic Kingdom,2022,Oct,61
Disney Magic Kingdom,2022,Nov,60
Disney Magic Kingdom,2022,Dec,59
Disney Magic Kingdom,2021,Jan,41
Disney Magic Kingdom,2021,Feb,59
Disney Magic Kingdom,2021,Mar,65
Disney Magic Kingdom,2021,Apr,57
Disney Magic Kingdom,2021,May,38
Disney Magic Kingdom,2021,Jun,34
Disney Magic Kingdom,2021,Jul,73
Disney Magic Kingdom,2021,Aug,39
Disney Magic Kingdom,2021,Sep,17
Disney Magic Kingdom,2021,Oct,52
Disney Magic Kingdom,2021,Nov,70
Disney Magic Kingdom,2021,Dec,76
Disney Magic Kingdom,2020,Jan,78
Disney Magic Kingdom,2020,Feb,87
Disney Magic Kingdom,2020,Mar,67
Disney Magic Kingdom,2020,Apr,NA
Disney Magic Kingdom,2020,May,NA
Disney Magic Kingdom,2020,Jun,NA
Disney Magic Kingdom,2020,Jul,5
Disney Magic Kingdom,2020,Aug,9
Disney Magic Kingdom,2020,Sep,32
Disney Magic Kingdom,2020,Oct,53
Disney Magic Kingdom,2020,Nov,45
Disney Magic Kingdom,2020,Dec,58
Disney Magic Kingdom,2019,Jan,69
Disney Magic Kingdom,2019,Feb,77
Disney Magic Kingdom,2019,Mar,91
Disney Magic Kingdom,2019,Apr,71
Disney Magic Kingdom,2019,May,62
Disney Magic Kingdom,2019,Jun,69
Disney Magic Kingdom,2019,Jul,75
Disney Magic Kingdom,2019,Aug,61
Disney Magic Kingdom,2019,Sep,24
Disney Magic Kingdom,2019,Oct,43
Disney Magic Kingdom,2019,Nov,64
Disney Magic Kingdom,2019,Dec,62
